seed_id,route_pair_id,n_A,n_B,admissible_edges,max_matched_slots,median_cost_units,cell_status,bank_id,unmatched_count
SEED_ICLR2026_020e313d40a7c060ed07a10cef287750,R4,2,7,10,2,290562.0,MEASURED,65a1afd491ef9ab249f5cfa410becc0457f2fb07ecac4b606d0a78201216fc3f,5
SEED_ICLR2026_0212b0dff7b4aa3bd8b8cc4ce24fd384,R1,46,1,44,1,22085,MEASURED,7cb5d83eae7f2268e9a219fcb41c7479ffde88ac4beedde968231bc54f551aaf,45
SEED_ICLR2026_0212b0dff7b4aa3bd8b8cc4ce24fd384,R2,46,3,130,3,17368,MEASURED,b605bb03cda93da62343b563043df31130e740781357c49fce7899b1d115bef8,43
SEED_ICLR2026_0212b0dff7b4aa3bd8b8cc4ce24fd384,R3,46,7,306,7,40328,MEASURED,d836a2f963acc53131b39037745f55e7275585fd0a5ffda81b7d16e8c0a33dbd,39
SEED_ICLR2026_0212b0dff7b4aa3bd8b8cc4ce24fd384,R4,1,7,7,1,193278,MEASURED,dad3cc975413a71d011b37050f6c8d1fc201f1b1bf042e654e35a886c33aaa64,6
SEED_ICLR2026_0232c006cb396c4fa8c9958a07905d3d,R1,41,0,0,0,,MEASURED,35d8b0b3cffced3972763ef0cf919c0d9f1d5e99aa143bbf5371c4d7be37aa1b,41
SEED_ICLR2026_0232c006cb396c4fa8c9958a07905d3d,R2,41,13,500,13,50140,MEASURED,6aeae0e7ccd070ee78d0ae8813ebf8ad380daab68dc3b9345b57278bf6ceace0,28
SEED_ICLR2026_0232c006cb396c4fa8c9958a07905d3d,R3,41,7,278,7,64892,MEASURED,242ef15685918f2a7e7ed43affc728cd3aa334fd890efa9983fd93d35c1046c2,34
SEED_ICLR2026_0232c006cb396c4fa8c9958a07905d3d,R4,0,7,0,0,,MEASURED,e8431098e1f3af62e102ab7f1d9463ecd8e312682236efe282c267203914fee2,7
SEED_ICLR2026_023d94f44110b9a3c62329beec739772,R1,59,1,57,1,169502,MEASURED,e1afbe17d8ac9437dcfc078d7ac31963de0a49ec54015da6f5612a137cb04c67,58
SEED_ICLR2026_023d94f44110b9a3c62329beec739772,R2,59,5,240,5,43819,MEASURED,f8670f95b34a034c3702d9c2a0613fca1d7dde3b675b2b29dc8fa9cf0802e946,54
SEED_ICLR2026_023d94f44110b9a3c62329beec739772,R3,59,1,31,1,203212,MEASURED,13efe844239fd86b3865813de25335293ea614f0adc91fc60fdfab031e77790d,58
SEED_ICLR2026_023d94f44110b9a3c62329beec739772,R4,1,1,1,1,518863,MEASURED,b102e603b733761b95678e2218875d08ac950435723b416844121b858a92ec31,0
SEED_ICLR2026_023f8b0b5c4d7004c1f57c944de8a310,R1,25,0,0,0,,MEASURED,3146579afa8d1d16348c0e603d6cbe8f6bf9540adf155801be81b32efc5f926a,25
SEED_ICLR2026_023f8b0b5c4d7004c1f57c944de8a310,R2,25,1,20,1,87150,MEASURED,1e2175d10b479a2c14b68d3f47fb1f500de8cc0e08314c9a5419206cf87267a4,24
SEED_ICLR2026_023f8b0b5c4d7004c1f57c944de8a310,R3,25,5,109,5,60523,MEASURED,e7fde503c9100eb51bc0da4459c7f547050c6f61fb817976f87978757f28cac1,20
SEED_ICLR2026_023f8b0b5c4d7004c1f57c944de8a310,R4,0,5,0,0,,MEASURED,8806aaf0d9ee309d05cbf467c7a0e7e83759ae62dc87651e2c7cf9ec38839b4f,5
SEED_ICLR2026_0271e4dc4e81459121a07b9634d5e79d,R1,15,1,12,1,83960,MEASURED,d2ede1bf620ea6872742ab74373301937bb074249dc86c14f25689a8bcbc7f84,14
SEED_ICLR2026_0271e4dc4e81459121a07b9634d5e79d,R2,15,5,60,5,86851,MEASURED,9068e53cb90be6845786dd3107efecb5edf5b3cd66fe85ff818fb6b06daa6f68,10
SEED_ICLR2026_0271e4dc4e81459121a07b9634d5e79d,R3,15,2,25,2,37497.5,MEASURED,40342c1cc4a17531b0076b92c3eb835c6b8bc200315e73a349e380ce219b0f2a,13
SEED_ICLR2026_0271e4dc4e81459121a07b9634d5e79d,R4,1,2,2,1,182693,MEASURED,b6a2b47aecc8270d08f416ac411cfe4db566c88935eabaf5e4fa85b112ea6ff8,1
SEED_ICLR2026_029df12a9363313c3e41047844ecad94,R1,26,8,174,8,187881.5,MEASURED,b3bb980fced27926f79d4ce59eb0daa2a1babc9f366eb4273a193c18c0a7f292,18
SEED_ICLR2026_029df12a9363313c3e41047844ecad94,R2,26,3,75,3,56902,MEASURED,f22e668830948636144c117b32ccb7568679f522377bef48e1e2b4ddbb57446a,23
SEED_ICLR2026_029df12a9363313c3e41047844ecad94,R3,26,10,219,10,158188.5,MEASURED,60444d3965a3cfe88906f094e75e72aebc59f433f30ba97617fca8183a7825e0,16
SEED_ICLR2026_029df12a9363313c3e41047844ecad94,R4,8,10,67,8,229589.0,MEASURED,47cb30748e7e662f86fb294cf0eca0035132ea0e65705aaf57d3fe0f0f635bfc,2
SEED_ICLR2026_02b212991646dae7b3a1ec5bce5a336a,R1,23,0,0,0,,MEASURED,2f0a50cf07fa48455a5426c683605118be26a7261bcbbef6d4447aa6efebd41f,23
SEED_ICLR2026_02b212991646dae7b3a1ec5bce5a336a,R2,23,23,454,23,172229,MEASURED,49fec74246f8c32fad698275636f56b0c6f47ff661308a9c76bf8ae98fae683f,0
SEED_ICLR2026_02b212991646dae7b3a1ec5bce5a336a,R3,23,1,23,1,174336,MEASURED,38a7e6fc74971e951bc2ec7237350e9973e16c63f9ed846352cd153b31962470,22
